Year,Units,État des stocks,Région,Groupe de stocks,Value
2020,Pourcentage,Zone critique,Canada,Tous les groupes de stocks,12.7777777777778
2021,Pourcentage,Zone critique,Canada,Tous les groupes de stocks,11.4583333333333
2022,Pourcentage,Zone critique,Canada,Tous les groupes de stocks,11.7948717948718
2011,Pourcentage,État incertain,Canada,Tous les groupes de stocks,22.5806451612903
2012,Pourcentage,État incertain,Canada,Tous les groupes de stocks,18.0645161290323
2013,Pourcentage,État incertain,Canada,Tous les groupes de stocks,15.4838709677419
2014,Pourcentage,État incertain,Canada,Tous les groupes de stocks,15.5844155844156
2015,Pourcentage,État incertain,Canada,Tous les groupes de stocks,19.4968553459119
2016,Pourcentage,État incertain,Canada,Tous les groupes de stocks,24.7058823529412
2017,Pourcentage,État incertain,Canada,Tous les groupes de stocks,40.7821229050279
2018,Pourcentage,État incertain,Canada,Tous les groupes de stocks,41.2429378531073
2019,Pourcentage,État incertain,Canada,Tous les groupes de stocks,39.7727272727273
2020,Pourcentage,État incertain,Canada,Tous les groupes de stocks,43.3333333333333
2021,Pourcentage,État incertain,Canada,Tous les groupes de stocks,40.1041666666667
2022,Pourcentage,État incertain,Canada,Tous les groupes de stocks,42.0512820512821
2011,Nombre de stocks,,,,103.0
2012,Nombre de stocks,,,,112.0
2013,Nombre de stocks,,,,115.0
2014,Nombre de stocks,,,,115.0
2015,Nombre de stocks,,,,109.0
2016,Nombre de stocks,,,,107.0
2017,Nombre de stocks,,,,88.0
2018,Nombre de stocks,,,,85.0
2019,Nombre de stocks,,,,81.0
2020,Nombre de stocks,,,,79.0
2021,Nombre de stocks,,,,93.0
2022,Nombre de stocks,,,,90.0
2011,Pourcentage,,,,66.4516129032258
2012,Pourcentage,,,,72.258064516129
2013,Pourcentage,,,,74.1935483870968
2014,Pourcentage,,,,74.6753246753247
2015,Pourcentage,,,,68.5534591194968
2016,Pourcentage,,,,62.9411764705882
2017,Pourcentage,,,,49.1620111731844
2018,Pourcentage,,,,48.0225988700565
2019,Pourcentage,,,,46.0227272727273
2020,Pourcentage,,,,43.8888888888889
2021,Pourcentage,,,,48.4375
2022,Pourcentage,,,,46.1538461538462
2022,Nombre,Zone saine,Pacifique,Tous les groupes de stocks,24.0
2022,Nombre,Zone de prudence,Pacifique,Tous les groupes de stocks,13.0
2022,Nombre,Zone critique,Pacifique,Tous les groupes de stocks,5.0
2022,Nombre,État incertain,Pacifique,Tous les groupes de stocks,15.0
2021,Nombre,Zone saine,Pacifique,Tous les groupes de stocks,23.0
2021,Nombre,Zone de prudence,Pacifique,Tous les groupes de stocks,16.0
2021,Nombre,Zone critique,Pacifique,Tous les groupes de stocks,4.0
2021,Nombre,État incertain,Pacifique,Tous les groupes de stocks,14.0
2022,Nombre,Zone saine,Arctique,Tous les groupes de stocks,2.0
2022,Nombre,Zone de prudence,Arctique,Tous les groupes de stocks,1.0
2022,Nombre,Zone critique,Arctique,Tous les groupes de stocks,0.0
2022,Nombre,État incertain,Arctique,Tous les groupes de stocks,18.0
2021,Nombre,Zone saine,Arctique,Tous les groupes de stocks,2.0
2021,Nombre,Zone de prudence,Arctique,Tous les groupes de stocks,1.0
2021,Nombre,Zone critique,Arctique,Tous les groupes de stocks,0.0
2021,Nombre,État incertain,Arctique,Tous les groupes de stocks,18.0
2022,Nombre,Zone saine,Atlantique,Tous les groupes de stocks,40.0
2022,Nombre,Zone de prudence,Atlantique,Tous les groupes de stocks,10.0
2022,Nombre,Zone critique,Atlantique,Tous les groupes de stocks,18.0
2022,Nombre,État incertain,Atlantique,Tous les groupes de stocks,49.0
2021,Nombre,Zone saine,Atlantique,Tous les groupes de stocks,41.0
2021,Nombre,Zone de prudence,Atlantique,Tous les groupes de stocks,10.0
2021,Nombre,Zone critique,Atlantique,Tous les groupes de stocks,18.0
2021,Nombre,État incertain,Atlantique,Tous les groupes de stocks,45.0
2022,Pourcentage,Zone saine,Pacifique,Tous les groupes de stocks,0.421052631578947
2022,Pourcentage,Zone de prudence,Pacifique,Tous les groupes de stocks,0.228070175438596
2022,Pourcentage,Zone critique,Pacifique,Tous les groupes de stocks,0.087719298245614
2022,Pourcentage,État incertain,Pacifique,Tous les groupes de stocks,0.263157894736842
2021,Pourcentage,Zone saine,Pacifique,Tous les groupes de stocks,0.403508771929825
2021,Pourcentage,Zone de prudence,Pacifique,Tous les groupes de stocks,0.280701754385965
2021,Pourcentage,Zone critique,Pacifique,Tous les groupes de stocks,0.0701754385964912
2021,Pourcentage,État incertain,Pacifique,Tous les groupes de stocks,0.245614035087719
2022,Pourcentage,Zone saine,Arctique,Tous les groupes de stocks,0.0952380952380952
2022,Pourcentage,Zone de prudence,Arctique,Tous les groupes de stocks,0.0476190476190476
