Year,Geography,Type of charging or fuelling stations,GeoCode,Value
2013,Nova Scotia,Electric,12,3
2013,Nova Scotia,Propane,12,1
2014,Nova Scotia,Total electric charging and alternative fuelling stations,12,10
2014,Nova Scotia,Electric,12,9
2015,Nova Scotia,Total electric charging and alternative fuelling stations,12,21
2015,Nova Scotia,Electric,12,19
2015,Nova Scotia,Propane,12,2
2016,Nova Scotia,Total electric charging and alternative fuelling stations,12,23
2016,Nova Scotia,Electric,12,21
2017,Nova Scotia,Total electric charging and alternative fuelling stations,12,27
2017,Nova Scotia,Electric,12,25
2018,Nova Scotia,Total electric charging and alternative fuelling stations,12,29
2018,Nova Scotia,Electric,12,27
2019,Nova Scotia,Total electric charging and alternative fuelling stations,12,47
2019,Nova Scotia,Electric,12,45
2020,Nova Scotia,Total electric charging and alternative fuelling stations,12,49
2020,Nova Scotia,Electric,12,47
2021,Nova Scotia,Total electric charging and alternative fuelling stations,12,63
2021,Nova Scotia,Electric,12,60
2021,Nova Scotia,Propane,12,3
2022,Nova Scotia,Total electric charging and alternative fuelling stations,12,133
2022,Nova Scotia,Electric,12,129
2022,Nova Scotia,Propane,12,4
2023,Nova Scotia,Total electric charging and alternative fuelling stations,12,209
2023,Nova Scotia,Electric,12,205
2024,Nova Scotia,Total electric charging and alternative fuelling stations,12,258
2024,Nova Scotia,Electric,12,253
2024,Nova Scotia,Propane,12,5
2025,Nova Scotia,Total electric charging and alternative fuelling stations,12,307
2025,Nova Scotia,Electric,12,302
2026,Nova Scotia,Total electric charging and alternative fuelling stations,12,329
2026,Nova Scotia,Electric,12,324
2010,Ontario,Total electric charging and alternative fuelling stations,35,31
2010,Ontario,Electric,35,1
2010,Ontario,Propane,35,30
2011,Ontario,Total electric charging and alternative fuelling stations,35,36
2011,Ontario,Electric,35,6
2012,Ontario,Total electric charging and alternative fuelling stations,35,43
2012,Ontario,Electric,35,13
2013,Ontario,Total electric charging and alternative fuelling stations,35,60
2013,Ontario,Electric,35,28
2013,Ontario,Propane,35,32
2014,Ontario,Total electric charging and alternative fuelling stations,35,97
2014,Ontario,Compressed natural gas,35,1
2014,Ontario,Electric,35,63
2014,Ontario,Propane,35,33
2015,Ontario,Total electric charging and alternative fuelling stations,35,177
2015,Ontario,Compressed natural gas,35,2
2015,Ontario,Electric,35,141
2015,Ontario,Propane,35,34
2016,Ontario,Total electric charging and alternative fuelling stations,35,220
2016,Ontario,Electric,35,182
2016,Ontario,Hydrogen,35,1
2016,Ontario,Propane,35,35
2017,Ontario,Total electric charging and alternative fuelling stations,35,362
2017,Ontario,Compressed natural gas,35,4
2017,Ontario,Electric,35,282
2017,Ontario,Propane,35,75
2018,Ontario,Total electric charging and alternative fuelling stations,35,431
2018,Ontario,Compressed natural gas,35,7
2018,Ontario,Electric,35,345
2018,Ontario,Propane,35,78
2019,Ontario,Total electric charging and alternative fuelling stations,35,666
2019,Ontario,Compressed natural gas,35,8
2019,Ontario,Electric,35,572
2019,Ontario,Propane,35,85
2020,Ontario,Total electric charging and alternative fuelling stations,35,746
2020,Ontario,Electric,35,645
2020,Ontario,Propane,35,92
2021,Ontario,Total electric charging and alternative fuelling stations,35,972
2021,Ontario,Compressed natural gas,35,9
2021,Ontario,Electric,35,869
2021,Ontario,Propane,35,93
2022,Ontario,Total electric charging and alternative fuelling stations,35,1629
2022,Ontario,Electric,35,1512
2022,Ontario,Propane,35,107
2023,Ontario,Total electric charging and alternative fuelling stations,35,2522
2023,Ontario,Electric,35,2401
2023,Ontario,Propane,35,111
2024,Ontario,Total electric charging and alternative fuelling stations,35,3378
2024,Ontario,Electric,35,3240
2024,Ontario,Hydrogen,35,2
2024,Ontario,Propane,35,127
2025,Ontario,Total electric charging and alternative fuelling stations,35,4107
2025,Ontario,Electric,35,3967
2025,Ontario,Propane,35,129
2026,Ontario,Total electric charging and alternative fuelling stations,35,4587
2026,Ontario,Electric,35,4445
2026,Ontario,Propane,35,131
2013,Prince Edward Island,Total electric charging and alternative fuelling stations,11,1
2013,Prince Edward Island,Electric,11,1
2014,Prince Edward Island,Total electric charging and alternative fuelling stations,11,5
2014,Prince Edward Island,Electric,11,5
