Year,Géographie,Groupe d'âge,Sexe,Type de famille économique,GeoCode,Value
2015,,,,,,14.5
2016,,,,,,12.9
2017,,,,,,11.9
2018,,,,,,11.2
2019,,,,,,10.5
2020,,,,,,6.5
2021,,,,,,7.6
2022,,,,,,10.3
2023,,,,,,10.4
2015,Alberta,Total,Les deux sexes,Total,48,9.4
2015,Alberta,Moins de 18 ans,Les deux sexes,Total,48,12.3
2015,Alberta,18 à 64 ans,Les deux sexes,Total,48,9.5
2015,Alberta,65 ans et plus,Les deux sexes,Total,48,3.1
2015,Alberta,Total,Les deux sexes,Personnes dans les familles économiques,48,7.5
2015,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,48,12.2
2015,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,48,9.6
2015,Alberta,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,48,6.5
2015,Alberta,Total,Les deux sexes,Personnes hors famille économique,48,20.8
2015,Alberta,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,48,7.4
2015,Alberta,,Les deux sexes,Personnes non âgées hors famille économique,48,24.2
2016,Alberta,Total,Les deux sexes,Total,48,10.1
2016,Alberta,Moins de 18 ans,Les deux sexes,Total,48,10.8
2016,Alberta,18 à 64 ans,Les deux sexes,Total,48,10.9
2016,Alberta,65 ans et plus,Les deux sexes,Total,48,4.3
2016,Alberta,Total,Les deux sexes,Personnes dans les familles économiques,48,7.8
2016,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,48,10.7
2016,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,48,9.8
2016,Alberta,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,48,7.6
2016,Alberta,Total,Les deux sexes,Personnes hors famille économique,48,23.7
2016,Alberta,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,48,10.1
2016,Alberta,,Les deux sexes,Personnes non âgées hors famille économique,48,27.7
2017,Alberta,Total,Les deux sexes,Total,48,8.5
2017,Alberta,Moins de 18 ans,Les deux sexes,Total,48,7.8
2017,Alberta,18 à 64 ans,Les deux sexes,Total,48,9.8
2017,Alberta,65 ans et plus,Les deux sexes,Total,48,2.9
2017,Alberta,Total,Les deux sexes,Personnes dans les familles économiques,48,6.4
2017,Alberta,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,48,1.7
2017,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,48,7.8
2017,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,48,6.5
2017,Alberta,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,48,6.6
2017,Alberta,Total,Les deux sexes,Personnes hors famille économique,48,20.8
2017,Alberta,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,48,5.8
2017,Alberta,,Les deux sexes,Personnes non âgées hors famille économique,48,25.6
2018,Alberta,Total,Les deux sexes,Total,48,9.4
2018,Alberta,Moins de 18 ans,Les deux sexes,Total,48,9.2
2018,Alberta,18 à 64 ans,Les deux sexes,Total,48,10.6
2018,Alberta,65 ans et plus,Les deux sexes,Total,48,3.5
2018,Alberta,Total,Les deux sexes,Personnes dans les familles économiques,48,6.7
2018,Alberta,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,48,2.7
2018,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,48,9.2
2018,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,48,7.3
2018,Alberta,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,48,6.3
2018,Alberta,Total,Les deux sexes,Personnes hors famille économique,48,24.1
2018,Alberta,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,48,5.5
2018,Alberta,,Les deux sexes,Personnes non âgées hors famille économique,48,29.4
2019,Alberta,Total,Les deux sexes,Total,48,8.3
2019,Alberta,Moins de 18 ans,Les deux sexes,Total,48,7.0
2019,Alberta,18 à 64 ans,Les deux sexes,Total,48,9.7
2019,Alberta,65 ans et plus,Les deux sexes,Total,48,3.7
2019,Alberta,Total,Les deux sexes,Personnes dans les familles économiques,48,5.9
2019,Alberta,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,48,2.9
2019,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,48,6.6
2019,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,48,5.7
2019,Alberta,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,48,6.1
2019,Alberta,Total,Les deux sexes,Personnes hors famille économique,48,21.5
2019,Alberta,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,48,5.6
2019,Alberta,,Les deux sexes,Personnes non âgées hors famille économique,48,26.2
2020,Alberta,Total,Les deux sexes,Total,48,6.0
2020,Alberta,Moins de 18 ans,Les deux sexes,Total,48,4.6
2020,Alberta,18 à 64 ans,Les deux sexes,Total,48,7.1
2020,Alberta,65 ans et plus,Les deux sexes,Total,48,3.0
2020,Alberta,Total,Les deux sexes,Personnes dans les familles économiques,48,3.6
2020,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,48,4.5
2020,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,48,2.5
2020,Alberta,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,48,3.6
2020,Alberta,Total,Les deux sexes,Personnes hors famille économique,48,19.0
2020,Alberta,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,48,7.6
2020,Alberta,,Les deux sexes,Personnes non âgées hors famille économique,48,23.0
2021,Alberta,Total,Les deux sexes,Total,48,8.5
2021,Alberta,Moins de 18 ans,Les deux sexes,Total,48,8.2
2021,Alberta,18 à 64 ans,Les deux sexes,Total,48,9.2
