Year,Géographie,Groupe d'âge,Sexe,Type de famille économique,GeoCode,Value
2015,"Montréal, Québec",,Les deux sexes,Personnes non âgées hors famille économique,,37.9
2016,"Montréal, Québec",Total,Les deux sexes,Total,,13.2
2016,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Total,,13.6
2016,"Montréal, Québec",18 à 64 ans,Les deux sexes,Total,,13.9
2016,"Montréal, Québec",65 ans et plus,Les deux sexes,Total,,9.7
2016,"Montréal, Québec",Total,Les deux sexes,Personnes dans les familles économiques,,9.1
2016,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,,13.1
2016,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,,11.3
2016,"Montréal, Québec",18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,,8.6
2016,"Montréal, Québec",Total,Les deux sexes,Personnes hors famille économique,,30.0
2016,"Montréal, Québec",65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,,21.5
2016,"Montréal, Québec",,Les deux sexes,Personnes non âgées hors famille économique,,32.9
2017,"Montréal, Québec",Total,Les deux sexes,Total,,14.1
2017,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Total,,14.7
2017,"Montréal, Québec",18 à 64 ans,Les deux sexes,Total,,15.0
2017,"Montréal, Québec",65 ans et plus,Les deux sexes,Total,,9.3
2017,"Montréal, Québec",Total,Les deux sexes,Personnes dans les familles économiques,,10.9
2017,"Montréal, Québec",65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,,5.1
2017,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,,14.6
2017,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,,12.4
2017,"Montréal, Québec",18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,,10.6
2017,"Montréal, Québec",Total,Les deux sexes,Personnes hors famille économique,,27.5
2017,"Montréal, Québec",65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,,17.2
2017,"Montréal, Québec",,Les deux sexes,Personnes non âgées hors famille économique,,31.6
2018,"Montréal, Québec",Total,Les deux sexes,Total,,11.4
2018,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Total,,9.1
2018,"Montréal, Québec",18 à 64 ans,Les deux sexes,Total,,13.2
2018,"Montréal, Québec",65 ans et plus,Les deux sexes,Total,,7.1
2018,"Montréal, Québec",Total,Les deux sexes,Personnes dans les familles économiques,,7.5
2018,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,,9.0
2018,"Montréal, Québec",Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,,7.4
2018,"Montréal, Québec",18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,,7.9
