Year,Geography,Age group,Sex,Value
British Columbia,"Total, 12 years and over",Both sexes,70.0,
British Columbia,"Total, 12 years and over",Both sexes,68.2,
British Columbia,"Total, 12 years and over",Both sexes,65.8,
British Columbia,"Total, 12 years and over",Both sexes,64.8,
British Columbia,"Total, 12 years and over",Males,71.4,
British Columbia,"Total, 12 years and over",Males,71.1,
British Columbia,"Total, 12 years and over",Males,71.9,
British Columbia,"Total, 12 years and over",Males,68.5,
British Columbia,"Total, 12 years and over",Males,69.0,
British Columbia,"Total, 12 years and over",Females,65.9,
British Columbia,"Total, 12 years and over",Females,68.9,
British Columbia,"Total, 12 years and over",Females,64.7,
British Columbia,"Total, 12 years and over",Females,63.2,
British Columbia,"Total, 12 years and over",Females,60.9,
British Columbia,12 to 17 years,Both sexes,79.1,
British Columbia,12 to 17 years,Both sexes,79.3,
British Columbia,12 to 17 years,Both sexes,76.3,
British Columbia,12 to 17 years,Both sexes,76.4,
British Columbia,12 to 17 years,Both sexes,74.0,
British Columbia,12 to 17 years,Males,77.2,
British Columbia,12 to 17 years,Males,82.7,
British Columbia,12 to 17 years,Males,79.7,
British Columbia,12 to 17 years,Males,77.9,
British Columbia,12 to 17 years,Males,76.8,
British Columbia,12 to 17 years,Females,80.9,
British Columbia,12 to 17 years,Females,76.0,
British Columbia,12 to 17 years,Females,72.8,
British Columbia,12 to 17 years,Females,74.8,
British Columbia,12 to 17 years,Females,71.1,
British Columbia,18 to 34 years,Both sexes,68.4,
British Columbia,18 to 34 years,Both sexes,71.7,
British Columbia,18 to 34 years,Both sexes,67.5,
British Columbia,18 to 34 years,Both sexes,62.5,
British Columbia,18 to 34 years,Both sexes,58.5,
British Columbia,18 to 34 years,Males,72.1,
British Columbia,18 to 34 years,Males,73.5,
British Columbia,18 to 34 years,Males,73.7,
British Columbia,18 to 34 years,Males,67.7,
British Columbia,18 to 34 years,Males,66.4,
British Columbia,18 to 34 years,Females,64.6,
British Columbia,18 to 34 years,Females,69.9,
British Columbia,18 to 34 years,Females,61.3,
British Columbia,18 to 34 years,Females,57.1,
British Columbia,18 to 34 years,Females,50.6,
British Columbia,35 to 49 years,Both sexes,67.4,
British Columbia,35 to 49 years,Both sexes,70.2,
British Columbia,35 to 49 years,Both sexes,69.1,
British Columbia,35 to 49 years,Both sexes,62.9,
British Columbia,35 to 49 years,Both sexes,65.3,
British Columbia,35 to 49 years,Males,73.1,
British Columbia,35 to 49 years,Males,74.5,
British Columbia,35 to 49 years,Males,70.7,
British Columbia,35 to 49 years,Males,66.2,
British Columbia,35 to 49 years,Males,68.1,
British Columbia,35 to 49 years,Females,62.1,
British Columbia,35 to 49 years,Females,66.1,
British Columbia,35 to 49 years,Females,67.7,
British Columbia,35 to 49 years,Females,59.9,
British Columbia,35 to 49 years,Females,62.6,
British Columbia,50 to 64 years,Both sexes,69.6,
British Columbia,50 to 64 years,Both sexes,68.2,
British Columbia,50 to 64 years,Both sexes,65.4,
British Columbia,50 to 64 years,Both sexes,66.3,
British Columbia,50 to 64 years,Both sexes,66.9,
British Columbia,50 to 64 years,Males,71.5,
British Columbia,50 to 64 years,Males,66.4,
British Columbia,50 to 64 years,Males,70.9,
British Columbia,50 to 64 years,Males,67.7,
British Columbia,50 to 64 years,Males,69.6,
British Columbia,50 to 64 years,Females,67.6,
British Columbia,50 to 64 years,Females,69.8,
British Columbia,50 to 64 years,Females,60.3,
British Columbia,50 to 64 years,Females,64.9,
British Columbia,50 to 64 years,Females,64.3,
British Columbia,65 years and over,Both sexes,64.9,
British Columbia,65 years and over,Both sexes,66.3,
British Columbia,65 years and over,Both sexes,68.9,
British Columbia,65 years and over,Both sexes,69.4,
British Columbia,65 years and over,Both sexes,67.0,
British Columbia,65 years and over,Males,65.4,
British Columbia,65 years and over,Males,64.9,
British Columbia,65 years and over,Males,69.2,
British Columbia,65 years and over,Males,70.0,
British Columbia,65 years and over,Males,69.8,
British Columbia,65 years and over,Females,64.4,
British Columbia,65 years and over,Females,67.5,
British Columbia,65 years and over,Females,68.7,
British Columbia,65 years and over,Females,68.9,
British Columbia,65 years and over,Females,64.6,
