Year,Value,Units
2015,8246990,data.Terajoules
2016,8155257,data.Terajoules
2017,8472571,data.Terajoules
2018,8852052,data.Terajoules
2019,8882020,data.Terajoules
2020,"7,947,788",data.Terajoules
2021,"8,166,974",data.Terajoules
2015,0.23,data.Per capita
2016,0.23,data.Per capita
2017,0.23,data.Per capita
2018,0.24,data.Per capita
2019,0.24,data.Per capita
2020,0.21,data.Per capita
2021,0.21,data.Per capita
