Year,Geography,Value
2016,,78.2
2017,,82.5
2018,,77.6
2019,,76.3
2020,,74.6
2021,,73.0
2022,,66.7
2016,Canada,77.0
2017,Canada,75.5
2018,Canada,77.5
2019,Canada,78.8
2020,Canada,76.9
2021,Canada,76.6
2022,Canada,76.8
