Value,Disaggregation combinations using this value,Number of indicators
data.Bridges and tunnels,210,1
"data.Culture, recreation and sports facilities",216,1
data.Potable water,215,1
data.Public transit,201,1
data.Roads,215,1
data.Social and affordable housing,157,1
data.Solid waste,213,1
data.Stormwater,213,1
data.Wastewater,215,1
