Value,Disaggregation combinations using this value,Number of indicators
Alberta,11,2
Atlantic,1,1
British Columbia,11,2
Canada,11,2
Manitoba,10,2
New Brunswick,10,1
Newfoundland and Labrador,9,1
Northwest Territories and Nunavut,9,1
Northwest Territories,9,1
Nova Scotia,10,1
Nunavut,8,1
Ontario,10,2
Prince Edward Island,9,1
Quebec,10,2
Saskatchewan,11,2
Yukon,9,1
