Indicator
#1-2-1
#10-3-1
#11-4-1
#11-5-1
#12-3-1
#15-3-1
#16-2-1
#16-3-1
#16-4-1
#16-5-1
#16-6-1
#3-10-1
#3-3-1
#3-4-1
#3-5-1
#3-6-1
#3-7-1
#3-8-1
#5-1-1
#5-3-1
#6-2-1
#8-1-1
#8-4-1
#8-5-1
#8-6-1
#9-2-1
#9-4-1
#9-5-1
#9-6-1
