Indicator,Disaggregation combinations using this value
#1-1-1,26
#1-2-1,29
#10-3-1,131
#10-4-1,19
#12-3-1,45
#13-3-1,64
#16-2-1,4
#16-3-1,13
#16-4-1,11
#2-1-1,24
#3-1-1,17
#3-10-1,300
#3-13-1,17
#3-2-1,27
#3-3-1,48
#3-4-1,17
#3-5-1,17
#3-6-1,17
#3-7-1,17
#3-8-1,72
#4-1-1,164
#4-2-1,71
#5-1-1,6
#5-3-1,120
#6-2-1,1
#7-2-1,107
#8-1-1,65
#8-3-1,17
#8-4-1,26
#8-6-1,6
#9-4-1,3
#9-5-1,9
#9-6-1,4
