Value,Disaggregation combinations using this value,Number of indicators
Born in Canada,26,1
First Nations,96,1
"Immigrants, landed 5 or less years earlier",26,1
"Immigrants, landed more than 10 years earlier",26,1
"Immigrants, landed more than 5 to 10 years earlier",26,1
Indigenous peoples,96,1
Landed immigrants,26,1
Métis,96,1
Non-Indigenous people,96,1
Total population,728,1
