Value,Disaggregation combinations using this value,Number of indicators
"data.Administrative and support, waste management and remediation services [BS560]",14,1
data.Engineering construction [BS23C],14,1
data.Manufacturing [BS3A0],14,1
data.Other industries,14,1
"data.Professional, scientific and technical services [BS540]",14,1
"data.Total, all industries",14,1
data.Utilities [BS220],14,1
