Value,Disaggregation combinations using this value,Number of indicators
Agriculture,14,1
Buildings,15,1
Coal Production,6,1
Electricity,15,1
Heavy Industry,15,1
"Light Manufacturing, Construction & Forest Resources",15,1
National Inventory Total,1,1
Oil and Gas,15,1
Provincial Inventory Total,10,1
Territories Inventory Total,2,1
Territory Inventory Total,2,1
Transportation,15,1
Waste,15,1
