Value,Disaggregation combinations using this value,Number of indicators
Arab,85,2
Black,85,2
Chinese,93,2
Filipino,85,2
Group not indicated elsewhere,1,1
Japanese,84,1
Korean,84,1
Latin American,85,2
Multiple visible minorities,84,1
Not a visible minority,84,1
South Asian,88,2
Southeast Asian,84,1
Visible minority n.i.e,84,1
Visible minority population,101,2
West Asian,84,1
