Value,Disaggregation combinations using this value,Number of indicators
"Food insecure, marginal",951,1
"Food insecure, moderate or severe",950,1
"Food insecure, moderate",951,1
"Food insecure, severe",951,1
Food insecure,954,1
Food secure,954,1
