Value,Disaggregation combinations using this value,Number of indicators
data.All children,167,1
data.Both sexes,2103,15
data.Female,363,3
data.Females,1773,13
data.Male,363,3
data.Males,1773,13
data.Men,4,2
data.Women,4,2
