Indicator,Disaggregation combinations using this value
#1-1-1,12
#10-1-1,1
#11-6-1,3
#12-1-1,1
#2-1-1,24
#3-1-1,18
#3-2-1,18
#4-1-1,120
#4-2-1,90
#7-2-1,105
#7-3-1,5
#8-3-1,18
