Value,Disaggregation combinations using this value,Number of indicators
Coke oven gas,14,1
Coke,26,1
Gas plant natural gas liquids (NGL's),164,1
Hydroelectricity,179,1
Natural gas,139,1
Nuclear,40,1
Steam,49,1
Total coal,49,1
Total primary and secondary energy,195,1
Total refined petroleum products,194,1
