Value,Disaggregation combinations using this value,Number of indicators
Active transportation assets,140,1
Bridges and tunnels,210,1
"Culture, recreation and sports facilities",210,1
Potable water assets,210,1
Public transit assets,210,1
Roads,210,1
Shelters and homeless services assets,140,1
Social and affordable housing,210,1
Solid waste assets,210,1
Stormwater assets,210,1
Wastewater assets,210,1
