Value,Disaggregation combinations using this value,Number of indicators
Energy production from renewable sources,34,1
Heat or energy savings and management,34,1
Nuclear energy production,34,1
"Purchase of biofuels, biochemicals or biomaterials",34,1
"Total, resource management activities",34,1
