Indicator,Disaggregation combinations using this value
#11-4-1,1
#11-5-1,2
#13-3-1,52
#16-2-1,4
#16-3-1,13
#16-5-1,245
#16-6-1,1
#3-8-1,11
#6-2-1,1
#8-1-1,1
#8-5-1,1
#8-6-1,7
#9-4-1,3
#9-5-1,1
#9-6-1,2
