Value,Disaggregation combinations using this value,Number of indicators
data.Administration of justice,616,1
data.Crimes against property,616,1
data.Crimes against the person,616,1
data.Criminal Code traffic,350,1
data.Total Criminal Code,616,1
data.Total offences,616,1
