Value,Disaggregation combinations using this value,Number of indicators
data.All municipalities,245,1
data.All rural municipalities,240,1
data.All urban municipalities,241,1
"data.Rural municipalities, population 1 to 4,999",238,1
"data.Rural municipalities, population 5,000 or more",218,1
"data.Urban municipalities, population 1 to 4,999",220,1
"data.Urban municipalities, population 30,000 or more",219,1
"data.Urban municipalities, population 5,000 to 29,999",234,1
