Indicator,Disaggregation combinations using this value
#11-7-1,65
#3-10-1,100
#3-2-1,99
#3-3-1,16
#3-4-1,65
#3-5-1,65
#3-6-1,65
#3-7-1,65
#5-3-1,240
#8-4-1,98
