Value,Disaggregation combinations using this value,Number of indicators
Canada (provinces only),6,1
Census agglomerations,77,1
Census metropolitan area,154,1
Large urban population centres,70,1
Medium population centres,70,1
Outside census metropolitan areas and census agglomerations,77,1
Province,70,1
Rural areas,77,1
Small population centres,77,1
