Indicator,Disaggregation combinations using this value
#1-a-2,1
#1-a-3,1
#1-b-1,1
#10-4-1,1
#10-5-1,1
#10-6-1,1
#10-7-1,1
#10-7-2,1
#10-a-1,1
#10-b-1,1
#10-c-1,1
#11-3-2,1
#11-5-2,1
