Value,Disaggregation combinations using this value,Number of indicators
data.Africa,5,2
data.All regions,4,2
data.America,2,1
data.Antilles,3,1
data.Asia,5,2
data.Central America,3,1
data.Europe,5,2
data.Global,2,1
data.Middle East,5,2
data.North America,3,1
data.Oceania,5,2
data.South America,3,1
