Year,Units,Stock status,Region,Stock group,Value
2019,Number of stocks,,,,81.0
2020,Number of stocks,,,,79.0
2021,Number of stocks,,,,93.0
2022,Number of stocks,,,,90.0
2011,Percentage,,,,66.4516129032258
2012,Percentage,,,,72.258064516129
2013,Percentage,,,,74.1935483870968
2014,Percentage,,,,74.6753246753247
2015,Percentage,,,,68.5534591194968
2016,Percentage,,,,62.9411764705882
2017,Percentage,,,,49.1620111731844
2018,Percentage,,,,48.0225988700565
2019,Percentage,,,,46.0227272727273
2020,Percentage,,,,43.8888888888889
2021,Percentage,,,,48.4375
2022,Percentage,,,,46.1538461538462
2022,Number,Healthy zone,Pacific,All stock groups,24.0
2022,Number,Cautious zone,Pacific,All stock groups,13.0
2022,Number,Critical zone,Pacific,All stock groups,5.0
2022,Number,Status uncertain,Pacific,All stock groups,15.0
2021,Number,Healthy zone,Pacific,All stock groups,23.0
2021,Number,Cautious zone,Pacific,All stock groups,16.0
2021,Number,Critical zone,Pacific,All stock groups,4.0
2021,Number,Status uncertain,Pacific,All stock groups,14.0
2022,Number,Healthy zone,Arctic,All stock groups,2.0
2022,Number,Cautious zone,Arctic,All stock groups,1.0
2022,Number,Critical zone,Arctic,All stock groups,0.0
2022,Number,Status uncertain,Arctic,All stock groups,18.0
2021,Number,Healthy zone,Arctic,All stock groups,2.0
2021,Number,Cautious zone,Arctic,All stock groups,1.0
2021,Number,Critical zone,Arctic,All stock groups,0.0
2021,Number,Status uncertain,Arctic,All stock groups,18.0
2022,Number,Healthy zone,Atlantic,All stock groups,40.0
2022,Number,Cautious zone,Atlantic,All stock groups,10.0
2022,Number,Critical zone,Atlantic,All stock groups,18.0
2022,Number,Status uncertain,Atlantic,All stock groups,49.0
2021,Number,Healthy zone,Atlantic,All stock groups,41.0
2021,Number,Cautious zone,Atlantic,All stock groups,10.0
2021,Number,Critical zone,Atlantic,All stock groups,18.0
2021,Number,Status uncertain,Atlantic,All stock groups,45.0
2022,Percentage,Healthy zone,Pacific,All stock groups,0.421052631578947
2022,Percentage,Cautious zone,Pacific,All stock groups,0.228070175438596
2022,Percentage,Critical zone,Pacific,All stock groups,0.087719298245614
2022,Percentage,Status uncertain,Pacific,All stock groups,0.263157894736842
2021,Percentage,Healthy zone,Pacific,All stock groups,0.403508771929825
2021,Percentage,Cautious zone,Pacific,All stock groups,0.280701754385965
2021,Percentage,Critical zone,Pacific,All stock groups,0.0701754385964912
2021,Percentage,Status uncertain,Pacific,All stock groups,0.245614035087719
2022,Percentage,Healthy zone,Arctic,All stock groups,0.0952380952380952
2022,Percentage,Cautious zone,Arctic,All stock groups,0.0476190476190476
2022,Percentage,Critical zone,Arctic,All stock groups,0.0
2022,Percentage,Status uncertain,Arctic,All stock groups,0.857142857142857
2021,Percentage,Healthy zone,Arctic,All stock groups,0.0952380952380952
2021,Percentage,Cautious zone,Arctic,All stock groups,0.0476190476190476
2021,Percentage,Critical zone,Arctic,All stock groups,0.0
2021,Percentage,Status uncertain,Arctic,All stock groups,0.857142857142857
2022,Percentage,Healthy zone,Atlantic,All stock groups,0.341880341880342
2022,Percentage,Cautious zone,Atlantic,All stock groups,0.0854700854700855
2022,Percentage,Critical zone,Atlantic,All stock groups,0.153846153846154
2022,Percentage,Status uncertain,Atlantic,All stock groups,0.418803418803419
2021,Percentage,Healthy zone,Atlantic,All stock groups,0.359649122807018
2021,Percentage,Cautious zone,Atlantic,All stock groups,0.087719298245614
2021,Percentage,Critical zone,Atlantic,All stock groups,0.157894736842105
2021,Percentage,Status uncertain,Atlantic,All stock groups,0.394736842105263
2022,Number,Healthy and cautious zones,Pacific,All stock groups,37.0
2021,Number,Healthy and cautious zones,Pacific,All stock groups,39.0
2022,Number,Healthy and cautious zones,Arctic,All stock groups,3.0
2021,Number,Healthy and cautious zones,Arctic,All stock groups,3.0
2022,Number,Healthy and cautious zones,Atlantic,All stock groups,50.0
2021,Number,Healthy and cautious zones,Atlantic,All stock groups,51.0
2022,Percentage,Healthy and cautious zones,Pacific,All stock groups,0.649122807017544
2021,Percentage,Healthy and cautious zones,Pacific,All stock groups,0.684210526315789
2022,Percentage,Healthy and cautious zones,Arctic,All stock groups,0.142857142857143
2021,Percentage,Healthy and cautious zones,Arctic,All stock groups,0.142857142857143
2022,Percentage,Healthy and cautious zones,Atlantic,All stock groups,0.427350427350427
2021,Percentage,Healthy and cautious zones,Atlantic,All stock groups,0.447368421052632
2022,Number,Healthy zone,Canada,Marine mammals,2.0
2022,Number,Healthy zone,Canada,Groundfish,17.0
2022,Number,Healthy zone,Canada,Small pelagics,2.0
2022,Number,Healthy zone,Canada,Large pelagics,1.0
2022,Number,Healthy zone,Canada,Salmonids,5.0
2022,Number,Healthy zone,Canada,Crustaceans,30.0
2022,Number,Healthy zone,Canada,Molluscs,6.0
2022,Number,Healthy zone,Canada,Others,3.0
2021,Number,Healthy zone,Canada,Marine mammals,2.0
2021,Number,Healthy zone,Canada,Groundfish,18.0
2021,Number,Healthy zone,Canada,Small pelagics,1.0
2021,Number,Healthy zone,Canada,Large pelagics,2.0
2021,Number,Healthy zone,Canada,Salmonids,5.0
2021,Number,Healthy zone,Canada,Crustaceans,29.0
2021,Number,Healthy zone,Canada,Molluscs,6.0
2021,Number,Healthy zone,Canada,Others,6.0
2022,Number,Cautious zone,Canada,Marine mammals,0.0
2022,Number,Cautious zone,Canada,Groundfish,8.0
2022,Number,Cautious zone,Canada,Small pelagics,5.0
2022,Number,Cautious zone,Canada,Large pelagics,0.0
2022,Number,Cautious zone,Canada,Salmonids,8.0
2022,Number,Cautious zone,Canada,Crustaceans,2.0
2022,Number,Cautious zone,Canada,Molluscs,1.0
2022,Number,Cautious zone,Canada,Others,0.0
2021,Number,Cautious zone,Canada,Marine mammals,0.0
2021,Number,Cautious zone,Canada,Groundfish,9.0
2021,Number,Cautious zone,Canada,Small pelagics,5.0
2021,Number,Cautious zone,Canada,Large pelagics,0.0
2021,Number,Cautious zone,Canada,Salmonids,9.0
2021,Number,Cautious zone,Canada,Crustaceans,3.0
2021,Number,Cautious zone,Canada,Molluscs,1.0
2021,Number,Cautious zone,Canada,Others,0.0
2022,Number,Critical zone,Canada,Marine mammals,0.0
2022,Number,Critical zone,Canada,Groundfish,11.0
2022,Number,Critical zone,Canada,Small pelagics,4.0
2022,Number,Critical zone,Canada,Large pelagics,0.0
2022,Number,Critical zone,Canada,Salmonids,5.0
2022,Number,Critical zone,Canada,Crustaceans,2.0
2022,Number,Critical zone,Canada,Molluscs,1.0
2022,Number,Critical zone,Canada,Others,0.0
2021,Number,Critical zone,Canada,Marine mammals,0.0
2021,Number,Critical zone,Canada,Groundfish,11.0
2021,Number,Critical zone,Canada,Small pelagics,4.0
2021,Number,Critical zone,Canada,Large pelagics,0.0
2021,Number,Critical zone,Canada,Salmonids,4.0
2021,Number,Critical zone,Canada,Crustaceans,2.0
2021,Number,Critical zone,Canada,Molluscs,1.0
2021,Number,Critical zone,Canada,Others,0.0
2022,Number,Status uncertain,Canada,Marine mammals,15.0
2022,Number,Status uncertain,Canada,Groundfish,15.0
2022,Number,Status uncertain,Canada,Small pelagics,13.0
2022,Number,Status uncertain,Canada,Large pelagics,1.0
2022,Number,Status uncertain,Canada,Salmonids,7.0
2022,Number,Status uncertain,Canada,Crustaceans,18.0
2022,Number,Status uncertain,Canada,Molluscs,10.0
2022,Number,Status uncertain,Canada,Others,3.0
2021,Number,Status uncertain,Canada,Marine mammals,15.0
2021,Number,Status uncertain,Canada,Groundfish,14.0
2021,Number,Status uncertain,Canada,Small pelagics,10.0
2021,Number,Status uncertain,Canada,Large pelagics,1.0
2021,Number,Status uncertain,Canada,Salmonids,6.0
2021,Number,Status uncertain,Canada,Crustaceans,18.0
2021,Number,Status uncertain,Canada,Molluscs,10.0
