Year,Value,Units
2015,8246990,Terajoules
2016,8155257,Terajoules
2017,8472571,Terajoules
2018,8852052,Terajoules
2019,8882020,Terajoules
2020,"7,947,788",Terajoules
2021,"8,166,974",Terajoules
2015,0.23,Per capita
2016,0.23,Per capita
2017,0.23,Per capita
2018,0.24,Per capita
2019,0.24,Per capita
2020,0.21,Per capita
2021,0.21,Per capita
