Year,Value
1990,0.3
1991,0.3
1992,0.3
1993,0.3
1994,0.3
1995,0.3
1996,0.4
1997,0.4
1998,0.4
1999,0.4
2000,0.4
2001,0.4
2002,0.4
2003,0.5
2004,0.5
2005,0.5
2006,0.5
2007,0.5
2008,0.7
2009,0.7
2010,0.9
2011,0.9
2012,0.9
2013,0.9
2014,0.9
2015,0.9
2016,1.0
2017,4.6
2018,4.8
2019,12.4
2020,12.5
2021,12.5
2022,13.2
2023,13.2
2024,15.5
