Year,data.Geography,Value
2010,data.Canada,1.2
2011,data.Canada,1.2
2012,data.Canada,1.2
2013,data.Canada,1.2
2014,data.Canada,1.2
2015,data.Canada,1.2
2016,data.Canada,1.4
2017,data.Canada,7.9
2018,data.Canada,8.1
2019,data.Canada,13.8
