Year,Units,data.Geography,data.Type of cyber-related violation,data.Cyber-related violation,Value
2022,data.Number,data.Canada,data.Against a person,data.Non-consensual distribution of intimate images,896.0
2022,data.Number,data.Canada,data.Against a person,data.Extortion,4570.0
2022,data.Number,data.Canada,data.Against a person,data.Criminal harassment,2868.0
2022,data.Number,data.Canada,data.Against a person,data.Indecent/Harassing communications,5583.0
2022,data.Number,data.Canada,data.Against a person,data.Uttering threats,4460.0
2022,data.Number,data.Canada,data.Against a person,data.Fraud,36839.0
2022,data.Number,data.Canada,data.Against a person,data.Identity theft,766.0
2022,data.Number,data.Canada,data.Against a person,data.Identity fraud,3735.0
2022,data.Number,data.Canada,data.Against a person,data.Child pornography,1696.0
2022,data.Number,data.Canada,data.Against a person,data.Making or distribution of child pornography,7435.0
