Year,Géographie,Type de poste de recharge ou de ravitaillement,GeoCode,Value
2026,Colombie-Britannique,Électrique,59,2465
2010,Canada,Biodiesel,,1
2010,Canada,Électrique,,4
2010,Canada,Propane,,102
2011,Canada,Électrique,,15
2011,Canada,Propane,,103
2012,Canada,Électrique,,39
2012,Canada,Propane,,107
2013,Canada,Gaz naturel comprimé,,2
2013,Canada,Électrique,,104
2013,Canada,Propane,,111
2014,Canada,Gaz naturel comprimé,,3
2014,Canada,Électrique,,219
2014,Canada,Propane,,114
2015,Canada,Gaz naturel comprimé,,7
2015,Canada,Électrique,,529
2015,Canada,Propane,,127
2016,Canada,Électrique,,705
2016,Canada,Hydrogène,,1
2016,Canada,Propane,,131
2017,Canada,Gaz naturel comprimé,,13
2017,Canada,Électrique,,962
2017,Canada,Propane,,362
2018,Canada,Gaz naturel comprimé,,26
2018,Canada,Électrique,,1121
2018,Canada,Hydrogène,,3
2018,Canada,Propane,,576
2019,Canada,Gaz naturel comprimé,,29
2019,Canada,Électrique,,2958
2019,Canada,Hydrogène,,4
2019,Canada,Propane,,594
2020,Canada,Gaz naturel comprimé,,30
2020,Canada,Électrique,,3464
2020,Canada,Hydrogène,,5
2020,Canada,Propane,,607
2021,Canada,Gaz naturel comprimé,,32
2021,Canada,Électrique,,4356
2021,Canada,Hydrogène,,6
2021,Canada,Propane,,615
2022,Canada,Gaz naturel comprimé,,33
2022,Canada,Électrique,,6331
2022,Canada,Propane,,635
2023,Canada,Gaz naturel comprimé,,37
2023,Canada,Électrique,,8931
2023,Canada,Éthanol,,1
2023,Canada,Hydrogène,,7
2023,Canada,Propane,,642
2024,Canada,Électrique,,11280
2024,Canada,Hydrogène,,8
2024,Canada,Propane,,674
2025,Canada,Gaz naturel comprimé,,42
2025,Canada,Électrique,,13447
2025,Canada,Propane,,682
2026,Canada,Gaz naturel comprimé,,44
2026,Canada,Électrique,,14594
2010,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,3
2010,Manitoba,Électrique,46,1
2013,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,8
2013,Manitoba,Électrique,46,6
2014,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,9
2014,Manitoba,Électrique,46,7
2015,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,14
2015,Manitoba,Électrique,46,12
2016,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,15
2016,Manitoba,Électrique,46,13
2017,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,24
2017,Manitoba,Électrique,46,18
2017,Manitoba,Propane,46,6
2018,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,67
2018,Manitoba,Propane,46,49
2019,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,80
2019,Manitoba,Électrique,46,30
2019,Manitoba,Propane,46,50
2021,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,98
2021,Manitoba,Électrique,46,48
2022,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,153
2022,Manitoba,Électrique,46,103
2023,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,231
2023,Manitoba,Électrique,46,181
2024,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,310
2024,Manitoba,Électrique,46,257
2024,Manitoba,Propane,46,53
2025,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,357
2025,Manitoba,Électrique,46,304
2026,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,389
2026,Manitoba,Gaz naturel comprimé,46,1
2026,Manitoba,Électrique,46,335
2011,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,1
2011,Nouveau-Brunswick,Électrique,13,1
2012,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,4
2012,Nouveau-Brunswick,Électrique,13,4
2013,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,8
2013,Nouveau-Brunswick,Électrique,13,8
2014,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,11
2014,Nouveau-Brunswick,Électrique,13,11
2015,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,17
2015,Nouveau-Brunswick,Électrique,13,17
2016,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,21
2016,Nouveau-Brunswick,Électrique,13,21
2017,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,41
2017,Nouveau-Brunswick,Électrique,13,41
2018,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,47
2018,Nouveau-Brunswick,Électrique,13,46
2018,Nouveau-Brunswick,Propane,13,1
2019,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,63
2019,Nouveau-Brunswick,Électrique,13,62
2020,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,77
2020,Nouveau-Brunswick,Électrique,13,75
2020,Nouveau-Brunswick,Propane,13,2
2021,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,99
2021,Nouveau-Brunswick,Électrique,13,97
2022,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,132
2022,Nouveau-Brunswick,Électrique,13,128
2022,Nouveau-Brunswick,Propane,13,4
2023,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,193
2023,Nouveau-Brunswick,Électrique,13,189
2024,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,233
2024,Nouveau-Brunswick,Électrique,13,228
2024,Nouveau-Brunswick,Propane,13,5
2025,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,279
2025,Nouveau-Brunswick,Électrique,13,274
2026,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,299
2026,Nouveau-Brunswick,Électrique,13,294
2012,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,1
2012,Terre-Neuve-et-Labrador,Électrique,10,1
2013,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,5
2013,Terre-Neuve-et-Labrador,Électrique,10,5
2014,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,7
2014,Terre-Neuve-et-Labrador,Électrique,10,7
2015,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,8
2015,Terre-Neuve-et-Labrador,Électrique,10,8
2016,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,14
2016,Terre-Neuve-et-Labrador,Électrique,10,14
2018,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,17
2018,Terre-Neuve-et-Labrador,Électrique,10,17
