Year,Value,Units
2015,8246990,Térajoules
2016,8155257,Térajoules
2017,8472571,Térajoules
2018,8852052,Térajoules
2019,8882020,Térajoules
2020,"7,947,788",Térajoules
2021,"8,166,974",Térajoules
2015,0.23,Par habitant
2016,0.23,Par habitant
2017,0.23,Par habitant
2018,0.24,Par habitant
2019,0.24,Par habitant
2020,0.21,Par habitant
2021,0.21,Par habitant
