Year,Value,GeoCode
2010,112,
2011,132,
2012,175,
2013,273,
2014,400,
2015,756,
2016,966,
2017,1526,
2018,2000,
2019,4133,
2020,5004,
2021,6329,
2022,8724,
2023,12273,
2024,14482,
