Year,Geography,Type of electricity generation,Value
2019,Quebec,Solar, -   
2015,Quebec,Other types of electricity generation, -   
2016,Quebec,Other types of electricity generation, -   
2017,Quebec,Other types of electricity generation, -   
2018,Quebec,Other types of electricity generation, -   
2019,Quebec,Other types of electricity generation, -   
2015,Ontario,"Total hydro, tidal, wind, solar and other generation", 30.30 
2016,Ontario,"Total hydro, tidal, wind, solar and other generation", 31.20 
2017,Ontario,"Total hydro, tidal, wind, solar and other generation", 34.40 
2018,Ontario,"Total hydro, tidal, wind, solar and other generation", 33.50 
2019,Ontario,"Total hydro, tidal, wind, solar and other generation", 32.20 
2015,Ontario,Hydraulic turbine, 22.20 
2016,Ontario,Hydraulic turbine, 23.20 
2017,Ontario,Hydraulic turbine, 26.20 
2018,Ontario,Hydraulic turbine, 24.50 
2019,Ontario,Hydraulic turbine, 23.60 
2015,Ontario,Wind power turbine, 7.20 
2016,Ontario,Wind power turbine, 6.80 
2017,Ontario,Wind power turbine, 6.90 
2018,Ontario,Wind power turbine, 7.60 
2019,Ontario,Wind power turbine, 7.20 
2015,Ontario,Solar, 0.90 
2016,Ontario,Solar, 1.10 
2017,Ontario,Solar, 1.30 
2018,Ontario,Solar, 1.40 
2019,Ontario,Solar, 1.40 
2015,Ontario,Other types of electricity generation, -   
2016,Ontario,Other types of electricity generation, -   
2017,Ontario,Other types of electricity generation, -   
2018,Ontario,Other types of electricity generation, -   
2019,Ontario,Other types of electricity generation, -   
2015,Manitoba,"Total hydro, tidal, wind, solar and other generation", 99.30 
2016,Manitoba,"Total hydro, tidal, wind, solar and other generation", 99.60 
2017,Manitoba,"Total hydro, tidal, wind, solar and other generation", 99.60 
2018,Manitoba,"Total hydro, tidal, wind, solar and other generation", 99.70 
2019,Manitoba,"Total hydro, tidal, wind, solar and other generation", 99.60 
2015,Manitoba,Hydraulic turbine, 96.70 
2016,Manitoba,Hydraulic turbine, 97.00 
2017,Manitoba,Hydraulic turbine, 97.10 
2018,Manitoba,Hydraulic turbine, 96.90 
2019,Manitoba,Hydraulic turbine, 97.00 
2015,Manitoba,Wind power turbine, 2.50 
2016,Manitoba,Wind power turbine, 2.60 
2017,Manitoba,Wind power turbine, 2.50 
2018,Manitoba,Wind power turbine, 2.80 
2019,Manitoba,Wind power turbine, 2.60 
2018,Manitoba,Solar, -   
2019,Manitoba,Solar, -   
2015,Saskatchewan,"Total hydro, tidal, wind, solar and other generation", 17.30 
2016,Saskatchewan,"Total hydro, tidal, wind, solar and other generation", 16.40 
2017,Saskatchewan,"Total hydro, tidal, wind, solar and other generation", 18.00 
2018,Saskatchewan,"Total hydro, tidal, wind, solar and other generation", 18.30 
2019,Saskatchewan,"Total hydro, tidal, wind, solar and other generation", 18.50 
2015,Saskatchewan,Hydraulic turbine, 14.60 
2016,Saskatchewan,Hydraulic turbine, 13.30 
2017,Saskatchewan,Hydraulic turbine, 15.10 
2018,Saskatchewan,Hydraulic turbine, 14.90 
2019,Saskatchewan,Hydraulic turbine, 15.20 
2015,Saskatchewan,Wind power turbine, 2.60 
2016,Saskatchewan,Wind power turbine, 3.00 
2017,Saskatchewan,Wind power turbine, 2.90 
2018,Saskatchewan,Wind power turbine, 2.90 
2019,Saskatchewan,Wind power turbine, 2.90 
2015,Saskatchewan,Other types of electricity generation, -   
