Year,data.Geography,Value
2007,data.Canada,85.2
2008,data.Canada,160
2009,data.Canada,157.1
2010,data.Canada,200
2011,data.Canada,166.7
2012,data.Canada,251.6
2013,data.Canada,139.4
2014,data.Canada,177.6
2015,data.Canada,164.7
2016,data.Canada,170.1
2017,data.Canada,205.8
