"Year","Geography","Age group","Sex","Economic family type","GeoCode","Value"
2017,"Atlantic provinces","65 years and over","Both sexes","Seniors not in an economic family",,17.3
2017,"Atlantic provinces","","Both sexes","Non-seniors not in an economic family",,40.5
2018,"Atlantic provinces","Total","Both sexes","Total",,12.3
2018,"Atlantic provinces","Under 18 years","Both sexes","Total",,13.3
2018,"Atlantic provinces","18 to 64 years","Both sexes","Total",,13.8
2018,"Atlantic provinces","65 years and over","Both sexes","Total",,7.1
2018,"Atlantic provinces","Total","Both sexes","Persons in economic families",,8.2
2018,"Atlantic provinces","65 years and over","Both sexes","Seniors in economic families",,2.6
2018,"Atlantic provinces","Under 18 years","Both sexes","Persons in economic families",,13.1
2018,"Atlantic provinces","Under 18 years","Both sexes","Persons in couple families with children",,7.7
2018,"Atlantic provinces","Under 18 years","Both sexes","Persons in all other economic families",,19.6
2018,"Atlantic provinces","18 to 64 years","Both sexes","Persons in economic families",,8.2
2018,"Atlantic provinces","Total","Both sexes","Persons not in an economic family",,31.8
2018,"Atlantic provinces","65 years and over","Both sexes","Seniors not in an economic family",,18.2
2018,"Atlantic provinces","","Both sexes","Non-seniors not in an economic family",,38.8
2019,"Atlantic provinces","Total","Both sexes","Total",,11.3
2019,"Atlantic provinces","Under 18 years","Both sexes","Total",,12.5
2019,"Atlantic provinces","18 to 64 years","Both sexes","Total",,12.4
2019,"Atlantic provinces","65 years and over","Both sexes","Total",,7
2019,"Atlantic provinces","Total","Both sexes","Persons in economic families",,7.6
2019,"Atlantic provinces","65 years and over","Both sexes","Seniors in economic families",,3.1
2019,"Atlantic provinces","Under 18 years","Both sexes","Persons in economic families",,12
2019,"Atlantic provinces","Under 18 years","Both sexes","Persons in couple families with children",,8.5
2019,"Atlantic provinces","18 to 64 years","Both sexes","Persons in economic families",,7.4
2019,"Atlantic provinces","Total","Both sexes","Persons not in an economic family",,28.3
2019,"Atlantic provinces","65 years and over","Both sexes","Seniors not in an economic family",,15.9
2019,"Atlantic provinces","","Both sexes","Non-seniors not in an economic family",,35.2
2020,"Atlantic provinces","Total","Both sexes","Total",,7.7
2020,"Atlantic provinces","Under 18 years","Both sexes","Total",,6.3
2020,"Atlantic provinces","18 to 64 years","Both sexes","Total",,9.3
2020,"Atlantic provinces","65 years and over","Both sexes","Total",,4.6
2020,"Atlantic provinces","Total","Both sexes","Persons in economic families",,4.6
2020,"Atlantic provinces","65 years and over","Both sexes","Seniors in economic families",,1.2
2020,"Atlantic provinces","Under 18 years","Both sexes","Persons in economic families",,6.1
2020,"Atlantic provinces","Under 18 years","Both sexes","Persons in couple families with children",,3.1
2020,"Atlantic provinces","18 to 64 years","Both sexes","Persons in economic families",,5.1
2020,"Atlantic provinces","Total","Both sexes","Persons not in an economic family",,21.8
2020,"Atlantic provinces","65 years and over","Both sexes","Seniors not in an economic family",,12.2
2020,"Atlantic provinces","","Both sexes","Non-seniors not in an economic family",,27.4
2021,"Atlantic provinces","Total","Both sexes","Total",,8.1
2021,"Atlantic provinces","Under 18 years","Both sexes","Total",,7.2
2021,"Atlantic provinces","18 to 64 years","Both sexes","Total",,8.8
2021,"Atlantic provinces","65 years and over","Both sexes","Total",,7
2021,"Atlantic provinces","Total","Both sexes","Persons in economic families",,4.7
2021,"Atlantic provinces","65 years and over","Both sexes","Seniors in economic families",,2.1
2021,"Atlantic provinces","Under 18 years","Both sexes","Persons in economic families",,6.8
2021,"Atlantic provinces","Under 18 years","Both sexes","Persons in couple families with children",,2.4
2021,"Atlantic provinces","18 to 64 years","Both sexes","Persons in economic families",,4.7
2021,"Atlantic provinces","Total","Both sexes","Persons not in an economic family",,23.2
2021,"Atlantic provinces","65 years and over","Both sexes","Seniors not in an economic family",,18.5
2021,"Atlantic provinces","","Both sexes","Non-seniors not in an economic family",,25.8
2022,"Atlantic provinces","Total","Both sexes","Total",,11.8
2022,"Atlantic provinces","Under 18 years","Both sexes","Total",,12.4
2022,"Atlantic provinces","18 to 64 years","Both sexes","Total",,12.7
2022,"Atlantic provinces","65 years and over","Both sexes","Total",,9
2022,"Atlantic provinces","Total","Both sexes","Persons in economic families",,7.6
2022,"Atlantic provinces","65 years and over","Both sexes","Seniors in economic families",,3.9
2022,"Atlantic provinces","Under 18 years","Both sexes","Persons in economic families",,12.1
2022,"Atlantic provinces","Under 18 years","Both sexes","Persons in couple families with children",,6.9
2022,"Atlantic provinces","Under 18 years","Both sexes","Persons in all other economic families",,15.6
2022,"Atlantic provinces","18 to 64 years","Both sexes","Persons in economic families",,7.3
2022,"Atlantic provinces","Total","Both sexes","Persons not in an economic family",,29.9
2022,"Atlantic provinces","65 years and over","Both sexes","Seniors not in an economic family",,21.3
2022,"Atlantic provinces","","Both sexes","Non-seniors not in an economic family",,34.6
2023,"Atlantic provinces","Total","Both sexes","Total",,12.4
2023,"Atlantic provinces","Under 18 years","Both sexes","Total",,15.2
2023,"Atlantic provinces","18 to 64 years","Both sexes","Total",,13.4
2023,"Atlantic provinces","65 years and over","Both sexes","Total",,7.6
2023,"Atlantic provinces","Total","Both sexes","Persons in economic families",,8.8
2023,"Atlantic provinces","65 years and over","Both sexes","Seniors in economic families",,3.2
2023,"Atlantic provinces","Under 18 years","Both sexes","Persons in economic families",,15.1
2023,"Atlantic provinces","Under 18 years","Both sexes","Persons in couple families with children",,9.8
2023,"Atlantic provinces","Under 18 years","Both sexes","Persons in all other economic families",,20.3
2023,"Atlantic provinces","18 to 64 years","Both sexes","Persons in economic families",,8.4
2023,"Atlantic provinces","Total","Both sexes","Persons not in an economic family",,28.1
2023,"Atlantic provinces","65 years and over","Both sexes","Seniors not in an economic family",,18.4
2023,"Atlantic provinces","","Both sexes","Non-seniors not in an economic family",,33.4
2015,"British Columbia","Total","Both sexes","Total",59,18.6
2015,"British Columbia","Under 18 years","Both sexes","Total",59,16.8
2015,"British Columbia","18 to 64 years","Both sexes","Total",59,20.8
2015,"British Columbia","65 years and over","Both sexes","Total",59,11.7
2015,"British Columbia","Total","Both sexes","Persons in economic families",59,13.1
2015,"British Columbia","65 years and over","Both sexes","Seniors in economic families",59,6.5
2015,"British Columbia","Under 18 years","Both sexes","Persons in economic families",59,15.9
2015,"British Columbia","Under 18 years","Both sexes","Persons in couple families with children",59,14.7
2015,"British Columbia","18 to 64 years","Both sexes","Persons in economic families",59,13.8
2015,"British Columbia","Total","Both sexes","Persons not in an economic family",59,43.5
2015,"British Columbia","65 years and over","Both sexes","Seniors not in an economic family",59,25.4
2015,"British Columbia","","Both sexes","Non-seniors not in an economic family",59,49.8
2016,"British Columbia","Total","Both sexes","Total",59,16
2016,"British Columbia","Under 18 years","Both sexes","Total",59,17.4
2016,"British Columbia","18 to 64 years","Both sexes","Total",59,17.4
2016,"British Columbia","65 years and over","Both sexes","Total",59,9.1
2016,"British Columbia","Total","Both sexes","Persons in economic families",59,11
2016,"British Columbia","65 years and over","Both sexes","Seniors in economic families",59,4.3
2016,"British Columbia","Under 18 years","Both sexes","Persons in economic families",59,17.2
2016,"British Columbia","Under 18 years","Both sexes","Persons in couple families with children",59,12.3
2016,"British Columbia","18 to 64 years","Both sexes","Persons in economic families",59,10.6
2016,"British Columbia","Total","Both sexes","Persons not in an economic family",59,38.5
2016,"British Columbia","65 years and over","Both sexes","Seniors not in an economic family",59,22.9
