Year,Geography,Type of charging or fuelling stations,GeoCode,Value
2013,Nova Scotia,Propane,12,1
2014,Nova Scotia,Total electric charging and alternative fuelling stations,12,10
2014,Nova Scotia,Electric,12,9
2015,Nova Scotia,Total electric charging and alternative fuelling stations,12,21
2015,Nova Scotia,Electric,12,19
2015,Nova Scotia,Propane,12,2
2016,Nova Scotia,Total electric charging and alternative fuelling stations,12,23
2016,Nova Scotia,Electric,12,21
2017,Nova Scotia,Total electric charging and alternative fuelling stations,12,27
2017,Nova Scotia,Electric,12,25
2018,Nova Scotia,Total electric charging and alternative fuelling stations,12,29
2018,Nova Scotia,Electric,12,27
2019,Nova Scotia,Total electric charging and alternative fuelling stations,12,47
2019,Nova Scotia,Electric,12,45
2020,Nova Scotia,Total electric charging and alternative fuelling stations,12,49
2020,Nova Scotia,Electric,12,47
2021,Nova Scotia,Total electric charging and alternative fuelling stations,12,63
2021,Nova Scotia,Electric,12,60
2021,Nova Scotia,Propane,12,3
2022,Nova Scotia,Total electric charging and alternative fuelling stations,12,133
2022,Nova Scotia,Electric,12,129
2022,Nova Scotia,Propane,12,4
2023,Nova Scotia,Total electric charging and alternative fuelling stations,12,209
2023,Nova Scotia,Electric,12,205
2024,Nova Scotia,Total electric charging and alternative fuelling stations,12,258
2024,Nova Scotia,Electric,12,253
2024,Nova Scotia,Propane,12,5
2025,Nova Scotia,Total electric charging and alternative fuelling stations,12,307
2025,Nova Scotia,Electric,12,302
2026,Nova Scotia,Total electric charging and alternative fuelling stations,12,329
2026,Nova Scotia,Electric,12,324
2010,Ontario,Total electric charging and alternative fuelling stations,35,30
2010,Ontario,Electric,35,1
2010,Ontario,Propane,35,29
2011,Ontario,Total electric charging and alternative fuelling stations,35,35
2011,Ontario,Electric,35,6
2012,Ontario,Total electric charging and alternative fuelling stations,35,42
2012,Ontario,Electric,35,13
2013,Ontario,Total electric charging and alternative fuelling stations,35,59
2013,Ontario,Electric,35,28
2013,Ontario,Propane,35,31
2014,Ontario,Total electric charging and alternative fuelling stations,35,96
2014,Ontario,Compressed natural gas,35,1
2014,Ontario,Electric,35,63
2014,Ontario,Propane,35,32
2015,Ontario,Total electric charging and alternative fuelling stations,35,176
2015,Ontario,Compressed natural gas,35,2
2015,Ontario,Electric,35,141
2015,Ontario,Propane,35,33
2016,Ontario,Total electric charging and alternative fuelling stations,35,219
2016,Ontario,Electric,35,182
2016,Ontario,Hydrogen,35,1
2016,Ontario,Propane,35,34
2017,Ontario,Total electric charging and alternative fuelling stations,35,360
2017,Ontario,Compressed natural gas,35,4
2017,Ontario,Electric,35,282
2017,Ontario,Propane,35,73
2018,Ontario,Total electric charging and alternative fuelling stations,35,429
2018,Ontario,Compressed natural gas,35,7
2018,Ontario,Electric,35,345
2018,Ontario,Propane,35,76
2019,Ontario,Total electric charging and alternative fuelling stations,35,662
2019,Ontario,Compressed natural gas,35,8
2019,Ontario,Electric,35,572
2019,Ontario,Propane,35,81
2020,Ontario,Total electric charging and alternative fuelling stations,35,742
2020,Ontario,Electric,35,645
2020,Ontario,Propane,35,88
2021,Ontario,Total electric charging and alternative fuelling stations,35,968
2021,Ontario,Compressed natural gas,35,9
2021,Ontario,Electric,35,869
2021,Ontario,Propane,35,89
2022,Ontario,Total electric charging and alternative fuelling stations,35,1626
2022,Ontario,Electric,35,1514
2022,Ontario,Propane,35,102
2023,Ontario,Total electric charging and alternative fuelling stations,35,2520
2023,Ontario,Electric,35,2404
2023,Ontario,Propane,35,106
2024,Ontario,Total electric charging and alternative fuelling stations,35,3375
2024,Ontario,Electric,35,3242
2024,Ontario,Hydrogen,35,2
2024,Ontario,Propane,35,122
2025,Ontario,Total electric charging and alternative fuelling stations,35,4105
2025,Ontario,Electric,35,3970
2025,Ontario,Propane,35,124
2026,Ontario,Total electric charging and alternative fuelling stations,35,4575
2026,Ontario,Electric,35,4440
2013,Prince Edward Island,Total electric charging and alternative fuelling stations,11,1
2013,Prince Edward Island,Electric,11,1
2014,Prince Edward Island,Total electric charging and alternative fuelling stations,11,5
2014,Prince Edward Island,Electric,11,5
2015,Prince Edward Island,Total electric charging and alternative fuelling stations,11,11
2015,Prince Edward Island,Electric,11,11
2017,Prince Edward Island,Total electric charging and alternative fuelling stations,11,15
2017,Prince Edward Island,Electric,11,15
2018,Prince Edward Island,Total electric charging and alternative fuelling stations,11,17
2018,Prince Edward Island,Electric,11,17
2020,Prince Edward Island,Total electric charging and alternative fuelling stations,11,23
2020,Prince Edward Island,Electric,11,23
2021,Prince Edward Island,Total electric charging and alternative fuelling stations,11,53
2021,Prince Edward Island,Electric,11,53
2022,Prince Edward Island,Total electric charging and alternative fuelling stations,11,91
2022,Prince Edward Island,Electric,11,90
2022,Prince Edward Island,Propane,11,1
2023,Prince Edward Island,Total electric charging and alternative fuelling stations,11,163
2023,Prince Edward Island,Electric,11,162
2024,Prince Edward Island,Total electric charging and alternative fuelling stations,11,190
2024,Prince Edward Island,Electric,11,188
2024,Prince Edward Island,Propane,11,2
2025,Prince Edward Island,Total electric charging and alternative fuelling stations,11,205
2025,Prince Edward Island,Electric,11,203
