Year,Géographie,data.Type of materials diverted,data.Sources of materials prepared for recycling,Value
2018,Terre-Neuve-et-Labrador,data.Plastics,data.Non-residential sources of diverted materials,0.230230611
2018,Terre-Neuve-et-Labrador,data.Gable top and aseptic containers,data.All sources of diverted materials,1.033183652
2018,Terre-Neuve-et-Labrador,data.Gable top and aseptic containers,data.Residential sources of diverted materials,0.869548672
2018,Terre-Neuve-et-Labrador,data.Gable top and aseptic containers,data.Non-residential sources of diverted materials,0.16363498
2018,Terre-Neuve-et-Labrador,data.Textiles,data.All sources of diverted materials,
2018,Terre-Neuve-et-Labrador,data.Textiles,data.Residential sources of diverted materials,
2018,Terre-Neuve-et-Labrador,data.Textiles,data.Non-residential sources of diverted materials,
2018,Terre-Neuve-et-Labrador,data.Tires,data.All sources of diverted materials,11.28129995
2018,Terre-Neuve-et-Labrador,data.Tires,data.Residential sources of diverted materials,
2018,Terre-Neuve-et-Labrador,data.Tires,data.Non-residential sources of diverted materials,
2018,Terre-Neuve-et-Labrador,data.Construction + renovation and demolition,data.All sources of diverted materials,
2018,Terre-Neuve-et-Labrador,data.Construction + renovation and demolition,data.Residential sources of diverted materials,
2018,Terre-Neuve-et-Labrador,data.Construction + renovation and demolition,data.Non-residential sources of diverted materials,
2018,Terre-Neuve-et-Labrador,data.Organics,data.All sources of diverted materials,1.721972753
2018,Terre-Neuve-et-Labrador,data.Organics,data.Residential sources of diverted materials,
2018,Terre-Neuve-et-Labrador,data.Organics,data.Non-residential sources of diverted materials,
2018,Terre-Neuve-et-Labrador,data.Other materials,data.All sources of diverted materials,
2018,Terre-Neuve-et-Labrador,data.Other materials,data.Residential sources of diverted materials,
2018,Terre-Neuve-et-Labrador,data.Other materials,data.Non-residential sources of diverted materials,
2018,Île-du-Prince-Édouard,data.All materials diverted,data.All sources of diverted materials,64001.71452
2018,Île-du-Prince-Édouard,data.All materials diverted,data.Residential sources of diverted materials,
2018,Île-du-Prince-Édouard,data.All materials diverted,data.Non-residential sources of diverted materials,
2018,Île-du-Prince-Édouard,data.All paper fibres,data.All sources of diverted materials,79.62397976
2018,Île-du-Prince-Édouard,data.All paper fibres,data.Residential sources of diverted materials,30.25502621
2018,Île-du-Prince-Édouard,data.All paper fibres,data.Non-residential sources of diverted materials,49.36895356
2018,Île-du-Prince-Édouard,data.Glass,data.All sources of diverted materials,1.74711205
2018,Île-du-Prince-Édouard,data.Glass,data.Residential sources of diverted materials,0.664945631
2018,Île-du-Prince-Édouard,data.Glass,data.Non-residential sources of diverted materials,1.082166419
2018,Île-du-Prince-Édouard,data.Ferrous metals,data.All sources of diverted materials,61.03809747
2018,Île-du-Prince-Édouard,data.Ferrous metals,data.Residential sources of diverted materials,23.19486818
2018,Île-du-Prince-Édouard,data.Ferrous metals,data.Non-residential sources of diverted materials,37.84322929
2018,Île-du-Prince-Édouard,data.Copper and aluminum,data.All sources of diverted materials,10.59349657
2018,Île-du-Prince-Édouard,data.Copper and aluminum,data.Residential sources of diverted materials,4.393856424
2018,Île-du-Prince-Édouard,data.Copper and aluminum,data.Non-residential sources of diverted materials,6.199640147
2018,Île-du-Prince-Édouard,data.Mixed metals,data.All sources of diverted materials,13.06422593
2018,Île-du-Prince-Édouard,data.Mixed metals,data.Residential sources of diverted materials,4.967535007
2018,Île-du-Prince-Édouard,data.Mixed metals,data.Non-residential sources of diverted materials,8.096690918
2018,Île-du-Prince-Édouard,data.White goods,data.All sources of diverted materials,44.26451798
2018,Île-du-Prince-Édouard,data.White goods,data.Residential sources of diverted materials,16.81921302
2018,Île-du-Prince-Édouard,data.White goods,data.Non-residential sources of diverted materials,27.44530496
2018,Île-du-Prince-Édouard,data.Electronics,data.All sources of diverted materials,2.985736264
2018,Île-du-Prince-Édouard,data.Electronics,data.Residential sources of diverted materials,
2018,Île-du-Prince-Édouard,data.Electronics,data.Non-residential sources of diverted materials,
2018,Île-du-Prince-Édouard,data.Plastics,data.All sources of diverted materials,6.121411249
2018,Île-du-Prince-Édouard,data.Plastics,data.Residential sources of diverted materials,2.327309708
2018,Île-du-Prince-Édouard,data.Plastics,data.Non-residential sources of diverted materials,3.794101541
2018,Île-du-Prince-Édouard,data.Gable top and aseptic containers,data.All sources of diverted materials,
2018,Île-du-Prince-Édouard,data.Gable top and aseptic containers,data.Residential sources of diverted materials,
