Year,Series,Groupe d'espèces,System,Value
1970,,,,0.0
1971,,,,1.45
1972,,,,2.66
1973,,,,3.52
1974,,,,3.98
1975,,,,4.53
1976,,,,4.85
1977,,,,5.03
1978,,,,5.59
1979,,,,6.34
1980,,,,7.25
1981,,,,8.03
1982,,,,8.01
1983,,,,8.11
1984,,,,8.97
1985,,,,9.7
1986,,,,10.02
1987,,,,8.85
1988,,,,8.06
1989,,,,7.23
1990,,,,6.96
1991,,,,6.58
1992,,,,6.3
1993,,,,6.5
1994,,,,7.07
1995,,,,7.15
1996,,,,6.95
1997,,,,6.52
1998,,,,5.27
1999,,,,4.17
2000,,,,3.31
2001,,,,2.77
2002,,,,2.07
2003,,,,1.59
2004,,,,1.07
2005,,,,1.17
2006,,,,1.32
2007,,,,1.17
2008,,,,0.43
2009,,,,-0.14
2010,,,,-0.76
2011,,,,-1.28
2012,,,,-2.59
2013,,,,-4.32
2014,,,,-5.86
2015,,,,-6.61
2016,,,,-6.44
2017,,,,-7.48
2018,,,,-7.43
1970,By species group,Indice des oiseaux,,0.0
1971,By species group,Indice des oiseaux,,1.27
1972,By species group,Indice des oiseaux,,2.57
1973,By species group,Indice des oiseaux,,3.96
1974,By species group,Indice des oiseaux,,5.58
1975,By species group,Indice des oiseaux,,7.11
1976,By species group,Indice des oiseaux,,8.36
1977,By species group,Indice des oiseaux,,9.23
1978,By species group,Indice des oiseaux,,9.96
1979,By species group,Indice des oiseaux,,10.83
1980,By species group,Indice des oiseaux,,11.78
1981,By species group,Indice des oiseaux,,12.6
1982,By species group,Indice des oiseaux,,13.19
1983,By species group,Indice des oiseaux,,13.7
1984,By species group,Indice des oiseaux,,15.24
1985,By species group,Indice des oiseaux,,16.79
1986,By species group,Indice des oiseaux,,18.13
1987,By species group,Indice des oiseaux,,17.71
1988,By species group,Indice des oiseaux,,17.72
1989,By species group,Indice des oiseaux,,17.83
1990,By species group,Indice des oiseaux,,18.03
1991,By species group,Indice des oiseaux,,18.27
1992,By species group,Indice des oiseaux,,18.49
1993,By species group,Indice des oiseaux,,18.56
1994,By species group,Indice des oiseaux,,18.38
