Year,Units,Géographie,Type de famille économique,GeoCode,Value
2015,Dollars constants de 2024,Terre-Neuve-et-Labrador,Non-senior women+ not in an economic family,10,26700.0
2015,Dollars constants de 2024,Île-du-Prince-Édouard,Familles économiques et personnes hors famille économique,11,65300.0
2015,Dollars constants de 2024,Île-du-Prince-Édouard,Familles économiques,11,84300.0
2015,Dollars constants de 2024,Île-du-Prince-Édouard,Familles de personnes âgées,11,68200.0
2015,Dollars constants de 2024,Île-du-Prince-Édouard,Couples de personnes âgées,11,67700.0
2015,Dollars constants de 2024,Île-du-Prince-Édouard,Autres familles de personnes âgées,11,71100.0
2015,Dollars constants de 2024,Île-du-Prince-Édouard,Familles de personnes non âgées,11,90800.0
2015,Dollars constants de 2024,Île-du-Prince-Édouard,Couples,11,79900.0
2015,Dollars constants de 2024,Île-du-Prince-Édouard,Couples avec des enfants,11,104700.0
2015,Dollars constants de 2024,Île-du-Prince-Édouard,Couples avec d'autres personnes apparentées,11,123200.0
2015,Dollars constants de 2024,Île-du-Prince-Édouard,One-parent families,11,47500.0
2015,Dollars constants de 2024,Île-du-Prince-Édouard,One-parent families in which the parent is a man+,11,
2015,Dollars constants de 2024,Île-du-Prince-Édouard,One-parent families in which the parent is a woman+,11,47500.0
2015,Dollars constants de 2024,Île-du-Prince-Édouard,Autres familles de personnes non âgées,11,
2015,Dollars constants de 2024,Île-du-Prince-Édouard,Personnes hors famille économique,11,31800.0
2015,Dollars constants de 2024,Île-du-Prince-Édouard,Personnes âgées hors famille économique,11,30400.0
2015,Dollars constants de 2024,Île-du-Prince-Édouard,Senior men+ not in an economic family,11,32300.0
2015,Dollars constants de 2024,Île-du-Prince-Édouard,Senior women+ not in an economic family,11,29300.0
2015,Dollars constants de 2024,Île-du-Prince-Édouard,Personnes non âgées hors famille économique,11,32400.0
2015,Dollars constants de 2024,Île-du-Prince-Édouard,Non-senior men+ not in an economic family,11,33600.0
2015,Dollars constants de 2024,Île-du-Prince-Édouard,Non-senior women+ not in an economic family,11,29300.0
2015,Dollars constants de 2024,Nouvelle-Écosse,Familles économiques et personnes hors famille économique,12,60700.0
2015,Dollars constants de 2024,Nouvelle-Écosse,Familles économiques,12,87300.0
2015,Dollars constants de 2024,Nouvelle-Écosse,Familles de personnes âgées,12,65400.0
2015,Dollars constants de 2024,Nouvelle-Écosse,Couples de personnes âgées,12,63100.0
2015,Dollars constants de 2024,Nouvelle-Écosse,Autres familles de personnes âgées,12,72700.0
2015,Dollars constants de 2024,Nouvelle-Écosse,Familles de personnes non âgées,12,93800.0
2015,Dollars constants de 2024,Nouvelle-Écosse,Couples,12,84300.0
2015,Dollars constants de 2024,Nouvelle-Écosse,Couples avec des enfants,12,112800.0
2015,Dollars constants de 2024,Nouvelle-Écosse,Couples avec d'autres personnes apparentées,12,130500.0
2015,Dollars constants de 2024,Nouvelle-Écosse,One-parent families,12,48600.0
2015,Dollars constants de 2024,Nouvelle-Écosse,One-parent families in which the parent is a man+,12,
2015,Dollars constants de 2024,Nouvelle-Écosse,One-parent families in which the parent is a woman+,12,48600.0
2015,Dollars constants de 2024,Nouvelle-Écosse,Autres familles de personnes non âgées,12,76600.0
2015,Dollars constants de 2024,Nouvelle-Écosse,Personnes hors famille économique,12,31700.0
2015,Dollars constants de 2024,Nouvelle-Écosse,Personnes âgées hors famille économique,12,30400.0
2015,Dollars constants de 2024,Nouvelle-Écosse,Senior men+ not in an economic family,12,32600.0
2015,Dollars constants de 2024,Nouvelle-Écosse,Senior women+ not in an economic family,12,29800.0
2015,Dollars constants de 2024,Nouvelle-Écosse,Personnes non âgées hors famille économique,12,32800.0
2015,Dollars constants de 2024,Nouvelle-Écosse,Non-senior men+ not in an economic family,12,34500.0
2015,Dollars constants de 2024,Nouvelle-Écosse,Non-senior women+ not in an economic family,12,30000.0
2015,Dollars constants de 2024,Nouveau-Brunswick,Familles économiques et personnes hors famille économique,13,63800.0
2015,Dollars constants de 2024,Nouveau-Brunswick,Familles économiques,13,84500.0
2015,Dollars constants de 2024,Nouveau-Brunswick,Familles de personnes âgées,13,64100.0
2015,Dollars constants de 2024,Nouveau-Brunswick,Couples de personnes âgées,13,65100.0
2015,Dollars constants de 2024,Nouveau-Brunswick,Autres familles de personnes âgées,13,54600.0
2015,Dollars constants de 2024,Nouveau-Brunswick,Familles de personnes non âgées,13,92800.0
2015,Dollars constants de 2024,Nouveau-Brunswick,Couples,13,85500.0
2015,Dollars constants de 2024,Nouveau-Brunswick,Couples avec des enfants,13,107200.0
2015,Dollars constants de 2024,Nouveau-Brunswick,Couples avec d'autres personnes apparentées,13,111100.0
2015,Dollars constants de 2024,Nouveau-Brunswick,One-parent families,13,55900.0
2015,Dollars constants de 2024,Nouveau-Brunswick,One-parent families in which the parent is a man+,13,
2015,Dollars constants de 2024,Nouveau-Brunswick,One-parent families in which the parent is a woman+,13,49700.0
2015,Dollars constants de 2024,Nouveau-Brunswick,Autres familles de personnes non âgées,13,62400.0
2015,Dollars constants de 2024,Nouveau-Brunswick,Personnes hors famille économique,13,30800.0
2015,Dollars constants de 2024,Nouveau-Brunswick,Personnes âgées hors famille économique,13,30500.0
2015,Dollars constants de 2024,Nouveau-Brunswick,Senior men+ not in an economic family,13,34100.0
2015,Dollars constants de 2024,Nouveau-Brunswick,Senior women+ not in an economic family,13,28200.0
2015,Dollars constants de 2024,Nouveau-Brunswick,Personnes non âgées hors famille économique,13,30800.0
2015,Dollars constants de 2024,Nouveau-Brunswick,Non-senior men+ not in an economic family,13,31800.0
2015,Dollars constants de 2024,Nouveau-Brunswick,Non-senior women+ not in an economic family,13,30400.0
2015,Dollars constants de 2024,Québec,Familles économiques et personnes hors famille économique,24,61400.0
2015,Dollars constants de 2024,Québec,Familles économiques,24,87700.0
2015,Dollars constants de 2024,Québec,Familles de personnes âgées,24,64100.0
2015,Dollars constants de 2024,Québec,Couples de personnes âgées,24,62900.0
2015,Dollars constants de 2024,Québec,Autres familles de personnes âgées,24,71700.0
2015,Dollars constants de 2024,Québec,Familles de personnes non âgées,24,94000.0
2015,Dollars constants de 2024,Québec,Couples,24,84200.0
2015,Dollars constants de 2024,Québec,Couples avec des enfants,24,109700.0
2015,Dollars constants de 2024,Québec,Couples avec d'autres personnes apparentées,24,121200.0
2015,Dollars constants de 2024,Québec,One-parent families,24,60600.0
2015,Dollars constants de 2024,Québec,One-parent families in which the parent is a man+,24,77800.0
2015,Dollars constants de 2024,Québec,One-parent families in which the parent is a woman+,24,58600.0
2015,Dollars constants de 2024,Québec,Autres familles de personnes non âgées,24,82500.0
2015,Dollars constants de 2024,Québec,Personnes hors famille économique,24,34200.0
2015,Dollars constants de 2024,Québec,Personnes âgées hors famille économique,24,31300.0
2015,Dollars constants de 2024,Québec,Senior men+ not in an economic family,24,31300.0
2015,Dollars constants de 2024,Québec,Senior women+ not in an economic family,24,31300.0
2015,Dollars constants de 2024,Québec,Personnes non âgées hors famille économique,24,36600.0
2015,Dollars constants de 2024,Québec,Non-senior men+ not in an economic family,24,38700.0
2015,Dollars constants de 2024,Québec,Non-senior women+ not in an economic family,24,33700.0
2015,Dollars constants de 2024,Ontario,Familles économiques et personnes hors famille économique,35,74200.0
2015,Dollars constants de 2024,Ontario,Familles économiques,35,102400.0
2015,Dollars constants de 2024,Ontario,Familles de personnes âgées,35,81200.0
2015,Dollars constants de 2024,Ontario,Couples de personnes âgées,35,79400.0
2015,Dollars constants de 2024,Ontario,Autres familles de personnes âgées,35,89600.0
2015,Dollars constants de 2024,Ontario,Familles de personnes non âgées,35,108000.0
2015,Dollars constants de 2024,Ontario,Couples,35,95400.0
2015,Dollars constants de 2024,Ontario,Couples avec des enfants,35,121900.0
2015,Dollars constants de 2024,Ontario,Couples avec d'autres personnes apparentées,35,155900.0
2015,Dollars constants de 2024,Ontario,One-parent families,35,55300.0
2015,Dollars constants de 2024,Ontario,One-parent families in which the parent is a man+,35,63800.0
2015,Dollars constants de 2024,Ontario,One-parent families in which the parent is a woman+,35,52600.0
2015,Dollars constants de 2024,Ontario,Autres familles de personnes non âgées,35,86000.0
2015,Dollars constants de 2024,Ontario,Personnes hors famille économique,35,36600.0
2015,Dollars constants de 2024,Ontario,Personnes âgées hors famille économique,35,37000.0
2015,Dollars constants de 2024,Ontario,Senior men+ not in an economic family,35,40400.0
2015,Dollars constants de 2024,Ontario,Senior women+ not in an economic family,35,34900.0
2015,Dollars constants de 2024,Ontario,Personnes non âgées hors famille économique,35,36600.0
2015,Dollars constants de 2024,Ontario,Non-senior men+ not in an economic family,35,43700.0
2015,Dollars constants de 2024,Ontario,Non-senior women+ not in an economic family,35,31900.0
2015,Dollars constants de 2024,Provinces des Prairies,Familles économiques et personnes hors famille économique,,85100.0
2015,Dollars constants de 2024,Provinces des Prairies,Familles économiques,,113900.0
2015,Dollars constants de 2024,Provinces des Prairies,Familles de personnes âgées,,80500.0
2015,Dollars constants de 2024,Provinces des Prairies,Couples de personnes âgées,,78700.0
2015,Dollars constants de 2024,Provinces des Prairies,Autres familles de personnes âgées,,91200.0
2015,Dollars constants de 2024,Provinces des Prairies,Familles de personnes non âgées,,120900.0
2015,Dollars constants de 2024,Provinces des Prairies,Couples,,113700.0
2015,Dollars constants de 2024,Provinces des Prairies,Couples avec des enfants,,128300.0
2015,Dollars constants de 2024,Provinces des Prairies,Couples avec d'autres personnes apparentées,,168800.0
2015,Dollars constants de 2024,Provinces des Prairies,One-parent families,,59400.0
2015,Dollars constants de 2024,Provinces des Prairies,One-parent families in which the parent is a man+,,91200.0
2015,Dollars constants de 2024,Provinces des Prairies,One-parent families in which the parent is a woman+,,53600.0
2015,Dollars constants de 2024,Provinces des Prairies,Autres familles de personnes non âgées,,103800.0
2015,Dollars constants de 2024,Provinces des Prairies,Personnes hors famille économique,,45500.0
2015,Dollars constants de 2024,Provinces des Prairies,Personnes âgées hors famille économique,,38100.0
2015,Dollars constants de 2024,Provinces des Prairies,Senior men+ not in an economic family,,43400.0
2015,Dollars constants de 2024,Provinces des Prairies,Senior women+ not in an economic family,,36500.0
2015,Dollars constants de 2024,Provinces des Prairies,Personnes non âgées hors famille économique,,48700.0
2015,Dollars constants de 2024,Provinces des Prairies,Non-senior men+ not in an economic family,,52500.0
2015,Dollars constants de 2024,Provinces des Prairies,Non-senior women+ not in an economic family,,44100.0
2015,Dollars constants de 2024,Manitoba,Familles économiques et personnes hors famille économique,46,70600.0
2015,Dollars constants de 2024,Manitoba,Familles économiques,46,93200.0
2015,Dollars constants de 2024,Manitoba,Familles de personnes âgées,46,76700.0
2015,Dollars constants de 2024,Manitoba,Couples de personnes âgées,46,75100.0
